FCU,FCU_AM,total_uni,uni_0,uni_1,uni_2,uni_3,uni_4,uni_5,uni_6,uni_7,uni_8,uni_9,uni_10,hs_state,no_public,ratio_public,no_fcu,ratio_fcu,no_math,ratio_math,taichung,hs_from_taichung,uni_mean,distance,similar_no,no_stat
0,0,6,逢甲大學應用數學系,東海大學應用數學系,東海大學企業管理學系(綠色與永續發展組),淡江大學數學學系數學組,靜宜大學企業管理學系,輔仁大學數學系應用數學組,0,0,0,0,0,臺南市,0,0.0,1,0.16666666666666666,6,1.0,0,2,250.5,3,11,0
1,0,5,逢甲大學應用數學系,逢甲大學統計學系商業大數據組,中國科技大學財務金融系(台北校區),中華醫事科技大學視光系,德明財經科技大學保險金融管理系風險管理與保險組,0,0,0,0,0,0,嘉義市,0,0.0,2,0.4,1,0.2,0,1,237.375,2,7,1
1,1,2,逢甲大學應用數學系,淡江大學數學學系數學組,0,0,0,0,0,0,0,0,0,新竹市,0,0.0,1,0.5,3,1.5,0,1,191.375,3,6,0
1,0,5,逢甲大學應用數學系,中原大學生物科技學系,逢甲大學光電學系,逢甲大學通訊工程學系,朝陽科技大學工業工程與管理系,0,0,0,0,0,0,嘉義市,0,0.0,3,0.6,1,0.2,0,1,253.875,2,18,0
1,1,2,逢甲大學應用數學系,中原大學應用數學系,0,0,0,0,0,0,0,0,0,彰化縣,0,0.0,1,0.5,2,1.0,0,1,180.375,1,10,0
1,0,5,逢甲大學應用數學系,東海大學應用數學系,逢甲大學機械與電腦輔助工程學系,逢甲大學自動控制工程學系,逢甲大學通訊工程學系,0,0,0,0,0,0,臺中市,0,0.0,4,0.8,2,0.4,1,0,248.75,0,23,0
0,0,5,逢甲大學應用數學系,東吳大學數學系,中國文化大學電機工程學系,中國文化大學機械工程學系,實踐大學資訊模擬與設計學系(高雄校區),0,0,0,0,0,0,屏東縣,0,0.0,1,0.2,2,0.4,0,3,230.75,6,10,0
1,1,2,逢甲大學應用數學系,逢甲大學纖維與複合材料學系,0,0,0,0,0,0,0,0,0,臺北市,0,0.0,2,1.0,1,0.5,0,3,222.125,5,8,0
1,0,2,逢甲大學應用數學系,逢甲大學光電學系,0,0,0,0,0,0,0,0,0,雲林縣,0,0.0,2,1.0,1,0.5,0,1,257.75,2,9,0
1,1,5,逢甲大學應用數學系,逢甲大學統計學系,逢甲大學光電學系,義守大學電子工程學系,義守大學資訊工程學系,0,0,0,0,0,0,高雄市,0,0.0,3,0.6,1,0.2,0,2,315.75,4,12,1
1,1,3,逢甲大學應用數學系,東海大學環境科學與工程學系,逢甲大學環境工程與科學學系,0,0,0,0,0,0,0,0,彰化縣,0,0.0,2,0.6666666666666666,1,0.3333333333333333,0,1,229.75,1,12,0
1,0,5,逢甲大學應用數學系,逢甲大學通訊工程學系,逢甲大學水利工程與資源保育學系,中國文化大學光電物理學系,靜宜大學資訊管理學系,0,0,0,0,0,0,雲林縣,0,0.0,3,0.6,1,0.2,0,1,236.25,2,15,0
0,0,4,逢甲大學應用數學系,東海大學應用數學系,國立屏東教育大學應用數學系,國立台東大學數學系,0,0,0,0,0,0,0,嘉義市,2,0.5,1,0.25,4,1.0,0,1,210.0,2,19,0
1,1,3,逢甲大學應用數學系,靜宜大學財務與計算數學系財務工程組,實踐大學金融管理學系(高雄校區),0,0,0,0,0,0,0,0,高雄市,0,0.0,1,0.3333333333333333,2,0.6666666666666666,0,2,227.75,4,7,0
0,0,6,逢甲大學應用數學系,中國文化大學應用數學系,中國文化大學資訊工程學系,靜宜大學資訊管理學系,銘傳大學應用統計與資料科學學系大數據管理組(桃園校區),明新科技大學資訊工程系,0,0,0,0,0,新竹市,0,0.0,1,0.16666666666666666,2,0.3333333333333333,0,1,249.625,3,9,1
0,0,5,逢甲大學應用數學系,東海大學應用數學系,東海大學統計學系(巨量資料管理組),大同大學電機工程學系,國立臺東大學資訊工程學系,0,0,0,0,0,0,南投縣,1,0.2,1,0.2,2,0.4,0,1,225.0,0,12,1
0,0,4,逢甲大學應用數學系,東海大學應用數學系,國立屏東教育大學資訊科學系,國立屏東教育大學應用數學系,0,0,0,0,0,0,0,屏東縣,2,0.5,1,0.25,3,0.75,0,3,227.75,6,15,0
1,1,2,逢甲大學應用數學系,靜宜大學資訊工程學系-一般組,0,0,0,0,0,0,0,0,0,高雄市,0,0.0,1,0.5,1,0.5,0,2,223.625,4,6,0
0,0,3,逢甲大學應用數學系,東海大學統計學系(大數據與決策管理組),中國文化大學機械工程學系,0,0,0,0,0,0,0,0,臺北市,0,0.0,1,0.3333333333333333,1,0.3333333333333333,0,3,217.5,5,6,1
0,0,10,逢甲大學應用數學系,淡江大學土木工程學系營建企業組,淡江大學水資源及環境工程學系水資源工程組,逢甲大學都市計劃與空間資訊學系都市計劃組,輔仁大學數學系應用數學組,義守大學土木與生態工程學系,國立雲林科技大學環境與安全衛生工程系,國立虎尾科技大學光電工程系,嘉南藥理科技大學保健營養系,大仁科技大學食品科技系保健營養組,0,臺北市,2,0.2,2,0.2,3,0.3,0,3,292.0,5,6,0
0,0,4,逢甲大學應用數學系,逢甲大學航太與系統工程學系,國立臺中教育大學數學教育學系,國立臺北教育大學數學暨資訊教育學系數學組,0,0,0,0,0,0,0,新北市,2,0.5,2,0.5,4,1.0,0,3,278.5,5,12,0
0,0,9,逢甲大學應用數學系,中原大學應用數學系,靜宜大學財務與計算數學系計算數學組,國立臺東大學應用數學系,國立勤益科技大學資訊工程系,建國科技大學機械工程系,建國科技大學電子工程系,建國科技大學資訊管理系,修平科技大學機械工程系,0,0,臺中市,2,0.2222222222222222,1,0.1111111111111111,5,0.5555555555555556,1,0,293.75,0,16,0
1,1,2,逢甲大學應用數學系,東海大學統計學系(決策管理組),0,0,0,0,0,0,0,0,0,臺中市,0,0.0,1,0.5,1,0.5,1,0,191.125,0,6,1
1,0,2,逢甲大學應用數學系,逢甲大學土木工程學系,0,0,0,0,0,0,0,0,0,彰化縣,0,0.0,2,1.0,1,0.5,0,1,197.125,1,13,0
1,1,2,逢甲大學應用數學系,中原大學應用數學系,0,0,0,0,0,0,0,0,0,彰化縣,0,0.0,1,0.5,2,1.0,0,1,180.375,1,10,0
